epoch,step,test_acc,test_loss,train_acc,train_loss,valid_acc,valid_loss
0,21,,,,,0.0,6.118273735046387
0,21,,,0.0,5.996375560760498,,
1,43,,,,,0.0,6.058799743652344
1,43,,,0.011627906933426857,5.9454169273376465,,
2,65,,,,,0.0,5.987781047821045
2,65,,,0.04651162773370743,5.890719890594482,,
3,87,,,,,0.0,5.929177284240723
3,87,,,0.058139536529779434,5.831212997436523,,
4,109,,,,,0.0,5.862331390380859
4,109,,,0.10465116053819656,5.785606861114502,,
5,131,,,,,0.0,5.801980018615723
5,131,,,0.13953489065170288,5.7265095710754395,,
6,153,,,,,0.0,5.752312660217285
6,153,,,0.19767442345619202,5.6523847579956055,,
7,175,,,,,0.10000000149011612,5.695904731750488
7,175,,,0.1744185984134674,5.617051601409912,,
8,197,,,,,0.10000000149011612,5.623358249664307
8,197,,,0.19767442345619202,5.561653137207031,,
9,219,,,,,0.10000000149011612,5.580610752105713
9,219,,,0.19767442345619202,5.524742126464844,,
10,241,,,,,0.10000000149011612,5.510785102844238
10,241,,,0.24418604373931885,5.43709659576416,,
11,263,,,,,0.10000000149011612,5.4433393478393555
11,263,,,0.23255814611911774,5.398115634918213,,
12,285,,,,,0.0,5.392218112945557
12,285,,,0.20930232107639313,5.347088813781738,,
13,307,,,,,0.10000000149011612,5.334995746612549
13,307,,,0.19767442345619202,5.279448509216309,,
14,329,,,,,0.0,5.277378082275391
14,329,,,0.26744186878204346,5.2157816886901855,,
15,351,,,,,0.0,5.237371921539307
15,351,,,0.1860465109348297,5.188237190246582,,
16,373,,,,,0.0,5.138092994689941
16,373,,,0.22093023359775543,5.1186652183532715,,
17,395,,,,,0.0,5.090146541595459
17,395,,,0.22093023359775543,5.048780918121338,,
18,417,,,,,0.0,5.030295372009277
18,417,,,0.20930232107639313,5.007870674133301,,
19,439,,,,,0.0,4.969792366027832
19,439,,,0.20930232107639313,4.960147380828857,,
20,440,0.30000001192092896,4.700334548950195,,,,
